id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
vital-throw,Vital Throw,Fighting,EOT,,7,2d6+10,17,Physical,"Melee, 1 Target, Push, Reaction","If the user is targeted by a Melee attack and has not yet taken a turn this round, the user may declare Vital Throw. After the triggering attack is resolved, the user may use Vital Throw against the triggering foe as a Reaction. Vital Throw cannot miss.",core,368,False
volt-switch,Volt Switch,Electric,At-Will,2,7,2d6+10,17,Special,"5, 1 Target","If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using Volt Switch lets a Trapped user be recalled.",core,359,False
volt-tackle,Volt Tackle,Electric,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash, Recoil 1/3",Volt Tackle Paralyzes the target on 19+.,core,359,False
wake-up-slap,Wake-Up Slap,Fighting,At-Will,2,5,1d8+8,13,Physical,"Melee, 1 Target","If the target is Asleep, Wake-Up Slap has a Damage Base of 10 (3d8+10 / 24) instead, and cures the target of Sleep.",core,368,False
water-gun,Water Gun,Water,At-Will,2,4,1d8+6,11,Special,"4, 1 Target",None,core,434,False
water-pledge,Water Pledge,Water,Scene x2,2,8,2d8+10,19,Special,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Grass Pledge, you may use Water Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Fire Pledge, a Rainbow is created that lasts for 5 rounds. If used in conjunction with Grass Pledge, the target and all foes adjacent to the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details.",core,434,False
water-pulse,Water Pulse,Water,At-Will,2,6,2d6+8,15,Special,"8, 1 Target, Aura",Water Pulse Confuses the target on 17+.,core,434,False
water-shuriken,Water Shuriken,Water,EOT,2,2,1d6+3,7,Special,"6, 1 Target, Five Strike, Priority",,sumo,24,False
water-sport,Water Sport,Water,EOT,,,,,Status,"Burst 2, Coat","All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Fire Type Moves. After a target has been hit by a damaging Fire Type Move, the coat is removed.",core,435,False
water-spout,Water Spout,Water,Daily,4,15,4d10+20,45,Special,Burst 1*,"For each 10% of HP the user is missing, Water Spout's Damage Base is reduced by 1. Water Spout creates a 1 meter burst, but also affects an area 10 meters tall straight up.",core,435,False
waterfall,Waterfall,Water,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",Waterfall Flinches the target on 17+.,core,435,False
wear-down,Wear Down,Normal,EOT,2,5,1d8+8,13,Physical,"WR, 1 Target",Wear Down lowers the target's Defense by 1 Combat Stage on Even-Numbered Rolls.,core,289,False
weather-ball,Weather Ball,Normal,EOT,2,5,1d8+8,13,Special,"8, 1 Target","If it is Sunny, Weather Ball is Fire-Type. If it is Rainy, Weather Ball is Water-Type. If it is Hailing, Weather Ball is Ice-Type. If it is Sandstorming, Weather Ball is Rock-Type. When a weather effect is on the field, Weather Ball has a Damage Base of 10 (3d8+10 / 24). If there are multiple Weather Effects on the field, choose one type for Weather Ball to be that corresponds with an existing Weather Effect.",core,413,False
whirlpool,Whirlpool,Water,Scene x2,4,4,1d8+6,11,Special,"3, 1 Target",The target is put in a Vortex.,core,435,False
whirlwind,Whirlwind,Normal,Scene x2,2,,,,Status,Line 6,"All targets are pushed X meters, where X is 8 minus their weight class. If the Line targets into a Smokescreen, the smoke is dispersed. All hazards in the Whirlwind are destroyed.",core,413,False
wide-guard,Wide Guard,Rock,Scene,,,,,Status,"Burst 1, Interrupt, Shield, Trigger","If an Ally adjacent to Wide Guard's user is hit by a Move, you may use Wide Guard as an Interrupt. All targets adjacent to Wide Guard's user, including the user, are instead not hit by the triggering Move and do not suffer any of its effects.",core,428,False
wild-charge,Wild Charge,Electric,At-Will,2,9,2d10+10,21,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None.,core,359,False
will-o-wisp,Will-O-Wisp,Fire,EOT,5,,,,Status,"6, 1 Target",The target is Burned.,core,372,False
wing-attack,Wing Attack,Flying,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target",None.,core,376,False
wish,Wish,Normal,Daily x2,,,,,Status,"15, 1 Target","At the end of the user's next turn, the target regains Hit Points equal to half of its full Hit Point value. If the user targets themselves and are replaced in battle, the replacement is healed.",core,413,False
withdraw,Withdraw,Water,At-Will,,,,,Status,Self,The user's Defense is raised 1 Combat Stage.,sep2015,4,False
wonder-room,Wonder Room,Psychic,Daily x2,,,,,Status,Field,"For 5 rounds, the area is considered Wondered. While Wondered, each individual Pokémon's Defense and Special Defense Stats are switched.",core,425,False
wood-hammer,Wood Hammer,Grass,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None,core,384,False
work-up,Work Up,Normal,EOT,,,,,Status,Self,Raise the user's Attack 1 Combat Stage and raise the user's Special Attack 1 Combat Stage.,core,413,False
worry-seed,Worry Seed,Grass,Scene,2,,,,Status,"8, 1 Target",You choose one of the target's Abilities. Worry Seed changes that Ability to Insomnia for the remainder of the encounter.,core,384,False
wounding-strike,Wounding Strike,Normal,EOT,2,6,2d6+8,15,Physical,"WR, 1 Target",The target loses a Tick of Hit Points.,core,289,False
wrap,Wrap,Normal,Static,,,,,Static,,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",core,413,True
wring-out,Wring Out,Normal,Scene x2,2,12,3d12+10,30,Special,"Melee, 1 Target","For every 10% the target is below their full Hit Points, Wring Out's Damage Base is reduced by 1.",core,413,False
x-scissor,X-Scissor,Bug,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target, Dash",None,core,349,False
yawn,Yawn,Normal,Scene x2,,,,,Status,"2, 1 Target, Social",The target falls Asleep at the end of their next turn. Yawn cannot miss.,core,413,False
zap-cannon,Zap Cannon,Electric,At-Will,9,12,3d12+10,30,Special,"12, 1 Target",Zap Cannon Paralyzes the target. Zap Cannon ignores the target's Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,core,359,False
zen-headbutt,Zen Headbutt,Psychic,EOT,4,8,2d8+10,19,Physical,"Melee, 1 Target, Dash",Zen Headbutt Flinches the target on 15+.,core,425,False
zing-zap,Zing Zap,Electric,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",Zing Zap Flinches the target on 15+.,sumo,10,False
